# book CJK baseline (threshold 5000)
| CJK chars | OK | path |
|-----------|:--:|------|
| 5000 | yes | `book/Chapter1. LinearAlgebra/1.7.Summary.md` |
| 5001 | yes | `book/Chapter3. Visualization/3.4.md` |
| 5001 | yes | `book/Chapter4. Statistics/4.6.md` |
| 5001 | yes | `book/Chapter6. Optimization/6.4. Nonconvex optimization.md` |
| 5002 | yes | `book/Chapter7. Time series and signal processing/7.3. audio processing.md` |
| 5002 | yes | `book/main.md` |
| 5003 | yes | `book/Chapter1. LinearAlgebra/1.1.Vector.md` |
| 5003 | yes | `book/Chapter5. Machine learning/5.3. Clustering.md` |
| 5003 | yes | `book/Chapter6. Optimization/6.3. Integer programming.md` |
| 5004 | yes | `book/Chapter4. Statistics/4.3.md` |
| 5004 | yes | `book/Chapter6. Optimization/6.1. Optimization.md` |
| 5006 | yes | `book/Chapter3. Visualization/main.md` |
| 5006 | yes | `book/Chapter6. Optimization/6.5. Parallel optimization.md` |
| 5007 | yes | `book/Chapter4. Statistics/4.2.md` |
| 5007 | yes | `book/Chapter5. Machine learning/5.2. Classification.md` |
| 5007 | yes | `book/Chapter7. Time series and signal processing/7.4. Music mining.md` |
| 5008 | yes | `book/Chapter1. LinearAlgebra/1.4.Linear Equation System.md` |
| 5008 | yes | `book/Chapter4. Statistics/4.7.md` |
| 5009 | yes | `book/Chapter1. LinearAlgebra/1.3.Matrix decomposition.md` |
| 5009 | yes | `book/Chapter3. Visualization/introduction.md` |
| 5009 | yes | `book/Chapter5. Machine learning/5.4. Dimension reduction.md` |
| 5010 | yes | `book/Chapter3. Visualization/3.3.md` |
| 5011 | yes | `book/Chapter7. Time series and signal processing/7.2. signal processing.md` |
| 5012 | yes | `book/Chapter3. Visualization/3.6.md` |
| 5016 | yes | `book/Chapter3. Visualization/3.1.md` |
| 5016 | yes | `book/Chapter5. Machine learning/5.1. Regression.md` |
| 5016 | yes | `book/Chapter6. Optimization/6.2. Linear programming.md` |
| 5017 | yes | `book/Chapter3. Visualization/3.5.md` |
| 5017 | yes | `book/Chapter4. Statistics/4.1.md` |
| 5017 | yes | `book/Chapter5. Machine learning/5.5. Tree ensembles and boosting.md` |
| 5017 | yes | `book/Chapter7. Time series and signal processing/7.1. Time series.md` |
| 5018 | yes | `book/Chapter3. Visualization/3.2.md` |
| 5021 | yes | `book/Chapter1. LinearAlgebra/1.2.Matrix.md` |
| 5033 | yes | `book/Chapter1. LinearAlgebra/1.5.Applications.md` |
| 5103 | yes | `book/Chapter4. Statistics/introduction.md` |
| 5191 | yes | `book/Chapter1. LinearAlgebra/1.6.Numerical stability.md` |
| 6259 | yes | `book/Chapter4. Statistics/4.5.md` |
| 6420 | yes | `book/Chapter4. Statistics/4.4.md` |

Total files: 38; below threshold: 0
